"Redsys credit card","Redsys credit card"
"Enable Card Payments","Enable Card Payments"
"Environment","Environment"
"Production Enviroment: https://sis.redsys.es/sis/realizarPago/utf-8 <br> Sandbox Enviroment: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8","Production Enviroment: https://sis.redsys.es/sis/realizarPago/utf-8 <br> Sandbox Enviroment: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8"
"Commerce Number (FUC)","Commerce Number (FUC)"
"Identity number that Redsys send to the merchant","Identity number that Redsys send to the merchant"
"Transaction Type","Transaction Type"
"Define Transaction Type in Redsys plaform.","Define Transaction Type in Redsys plaform."
"Terminal Number","Terminal Number"
"Terminal number that Redsys send to the merchant.","Terminal number that Redsys send to the merchant."
"Secret Encrypted Key (SHA-256)","Secret Encrypted Key (SHA-256)"
"Secret key that Redsys send to the merchant","Secret key that Redsys send to the merchant"
"Title","Title"
"Payment method title that will be displayed in checkout","Payment method title that will be displayed in checkout"
"Transaction denied.","Transaction denied."
"Transaction authorized.","Transaction authorized."
"Sorry, We have an error to try to load the cart.","Sorry, We have an error to try to load the cart."
"We are sorry, something was wrong with place order. Try again or select another payment method.","We are sorry, something was wrong with place order. Try again or select another payment method."
"Sorry, we have an error to try to load your order.","Sorry, we have an error to try to load your order."
